EventType,Subject,StartDate,EndDate,EstimatedAttendees,Location,ImpactLevel,DataSource,LastUpdated
コンサート,世界旅行音楽団　つきのさんぽ　釧路公演　音楽で世界旅行！！,2025-09-20,2025-09-20,100,北海道立釧路芸術館　アートホール（北海道）,Low,l-tike.com,2025-08-08
コンサート,吉幾三,2025-09-27,2025-09-27,1500,コーチャンフォー釧路文化ホール（釧路市民文化会館）（北海道）,High,l-tike.com,2025-08-08
コンサート,絢香,2025-10-11,2025-10-11,1500,コーチャンフォー釧路文化ホール（釧路市民文化会館）（北海道）,High,l-tike.com,2025-08-08
コンサート,ＤＲＵＭ　ＴＡＯ　ＬＩＶＥ　２０２５,2025-10-19,2025-10-19,1500,コーチャンフォー釧路文化ホール（釧路市民文化会館）（北海道）,High,l-tike.com,2025-08-08
